('pid constants ', array([  3.31537552e-01,   2.69757043e-04,   2.95358541e-03]))
('pid constants ', array([ 0.02675608,  0.00084099,  0.00857397]))
('pid constants ', array([ 0.02675608,  0.00084099,  0.00857397]))
('pid constants ', array([ 0.02675608,  0.00084099,  0.00857397]))
('pid constants ', array([ 0.02675608,  0.00084099,  0.00857397]))
('pid constants ', array([ 0.02675608,  0.00084099,  0.00857397]))
('pid constants ', array([  5.22931622e-01,   7.21887262e-05,   3.27785995e-03]))
('pid constants ', array([  5.22931622e-01,   7.21887262e-05,   3.27785995e-03]))
('pid constants ', array([  5.22931622e-01,   7.21887262e-05,   3.27785995e-03]))
('pid constants ', array([  5.22931622e-01,   7.21887262e-05,   3.27785995e-03]))
('pid constants ', array([  5.22931622e-01,   7.21887262e-05,   3.27785995e-03]))
('pid constants ', array([  5.11386998e-01,   1.04968386e-04,   4.95944841e-03]))
('pid constants ', array([  5.11386998e-01,   1.04968386e-04,   4.95944841e-03]))
('pid constants ', array([  5.11386998e-01,   1.04968386e-04,   4.95944841e-03]))
('pid constants ', array([  5.11386998e-01,   1.04968386e-04,   4.95944841e-03]))
('pid constants ', array([  5.11386998e-01,   1.04968386e-04,   4.95944841e-03]))
('pid constants ', array([ 0.83339475,  0.00085909,  0.0067319 ]))
('pid constants ', array([ 0.83339475,  0.00085909,  0.0067319 ]))
('pid constants ', array([ 0.83339475,  0.00085909,  0.0067319 ]))
('pid constants ', array([ 0.83339475,  0.00085909,  0.0067319 ]))
('pid constants ', array([ 0.83339475,  0.00085909,  0.0067319 ]))
('pid constants ', array([  7.68160422e-01,   3.15388322e-04,   8.94702309e-03]))
('pid constants ', array([  7.68160422e-01,   3.15388322e-04,   8.94702309e-03]))
('pid constants ', array([  7.68160422e-01,   3.15388322e-04,   8.94702309e-03]))
('pid constants ', array([  7.68160422e-01,   3.15388322e-04,   8.94702309e-03]))
('pid constants ', array([  7.68160422e-01,   3.15388322e-04,   8.94702309e-03]))
('pid constants ', array([  7.98871508e-01,   3.38369155e-04,   1.51354427e-03]))
('pid constants ', array([  7.98871508e-01,   3.38369155e-04,   1.51354427e-03]))
('pid constants ', array([  7.98871508e-01,   3.38369155e-04,   1.51354427e-03]))
('pid constants ', array([  7.98871508e-01,   3.38369155e-04,   1.51354427e-03]))
('pid constants ', array([  7.98871508e-01,   3.38369155e-04,   1.51354427e-03]))
('pid constants ', array([  7.27333955e-01,   7.62051401e-05,   4.14585156e-03]))
('pid constants ', array([  7.27333955e-01,   7.62051401e-05,   4.14585156e-03]))
('pid constants ', array([  7.27333955e-01,   7.62051401e-05,   4.14585156e-03]))
('pid constants ', array([  7.15287990e-01,   8.26045586e-05,   6.12430842e-03]))
('pid constants ', array([  7.15287990e-01,   8.26045586e-05,   6.12430842e-03]))
('pid constants ', array([  7.15287990e-01,   8.26045586e-05,   6.12430842e-03]))
('pid constants ', array([  7.15287990e-01,   8.26045586e-05,   6.12430842e-03]))
('pid constants ', array([  7.15287990e-01,   8.26045586e-05,   6.12430842e-03]))
('pid constants ', array([  8.04289882e-01,   5.22100606e-04,   7.66246513e-03]))
('pid constants ', array([  4.74291670e-01,   2.45286828e-05,   9.66660129e-03]))
('pid constants ', array([  4.74291670e-01,   2.45286828e-05,   9.66660129e-03]))
('pid constants ', array([  4.74291670e-01,   2.45286828e-05,   9.66660129e-03]))
('pid constants ', array([  4.74291670e-01,   2.45286828e-05,   9.66660129e-03]))
('pid constants ', array([  4.74291670e-01,   2.45286828e-05,   9.66660129e-03]))
('pid constants ', array([  7.34280829e-01,   3.36594237e-04,   8.88355266e-03]))
('pid constants ', array([  7.34280829e-01,   3.36594237e-04,   8.88355266e-03]))
('pid constants ', array([  7.34280829e-01,   3.36594237e-04,   8.88355266e-03]))
('pid constants ', array([  7.34280829e-01,   3.36594237e-04,   8.88355266e-03]))
('pid constants ', array([  7.34280829e-01,   3.36594237e-04,   8.88355266e-03]))
('pid constants ', array([ 0.31090185,  0.00066143,  0.00227319]))
('pid constants ', array([ 0.31090185,  0.00066143,  0.00227319]))
('pid constants ', array([ 0.31090185,  0.00066143,  0.00227319]))
('pid constants ', array([ 0.31090185,  0.00066143,  0.00227319]))
('pid constants ', array([ 0.31090185,  0.00066143,  0.00227319]))
('pid constants ', array([ 0.45507872,  0.00079968,  0.00887662]))
('pid constants ', array([ 0.45507872,  0.00079968,  0.00887662]))
('pid constants ', array([ 0.45507872,  0.00079968,  0.00887662]))
('pid constants ', array([ 0.45507872,  0.00079968,  0.00887662]))
('pid constants ', array([ 0.45507872,  0.00079968,  0.00887662]))
('pid constants ', array([  7.25716720e-01,   6.83053715e-04,   1.00261092e-03]))
('pid constants ', array([  7.25716720e-01,   6.83053715e-04,   1.00261092e-03]))
('pid constants ', array([  7.25716720e-01,   6.83053715e-04,   1.00261092e-03]))
('pid constants ', array([  7.25716720e-01,   6.83053715e-04,   1.00261092e-03]))
('pid constants ', array([  7.25716720e-01,   6.83053715e-04,   1.00261092e-03]))
('pid constants ', array([  8.35757964e-01,   4.46813288e-04,   7.60476335e-03]))
('pid constants ', array([  8.35757964e-01,   4.46813288e-04,   7.60476335e-03]))
('pid constants ', array([  8.35757964e-01,   4.46813288e-04,   7.60476335e-03]))
('pid constants ', array([  8.35757964e-01,   4.46813288e-04,   7.60476335e-03]))
('pid constants ', array([  8.35757964e-01,   4.46813288e-04,   7.60476335e-03]))
('pid constants ', array([ 0.22844674,  0.00051006,  0.00357632]))
('pid constants ', array([ 0.22844674,  0.00051006,  0.00357632]))
('pid constants ', array([ 0.22844674,  0.00051006,  0.00357632]))
('pid constants ', array([ 0.22844674,  0.00051006,  0.00357632]))
('pid constants ', array([ 0.22844674,  0.00051006,  0.00357632]))
('pid constants ', array([  4.65914875e-01,   3.57369171e-04,   8.33624411e-03]))
('pid constants ', array([  4.65914875e-01,   3.57369171e-04,   8.33624411e-03]))
('pid constants ', array([  4.65914875e-01,   3.57369171e-04,   8.33624411e-03]))
('pid constants ', array([  4.65914875e-01,   3.57369171e-04,   8.33624411e-03]))
('pid constants ', array([  4.65914875e-01,   3.57369171e-04,   8.33624411e-03]))
('pid constants ', array([ 0.35590479,  0.00086949,  0.0066615 ]))
('pid constants ', array([ 0.35590479,  0.00086949,  0.0066615 ]))
('pid constants ', array([ 0.35590479,  0.00086949,  0.0066615 ]))
('pid constants ', array([ 0.35590479,  0.00086949,  0.0066615 ]))
('pid constants ', array([ 0.35590479,  0.00086949,  0.0066615 ]))
('pid constants ', array([  5.09344642e-01,   3.16925706e-04,   9.80318813e-03]))
('pid constants ', array([  5.09344642e-01,   3.16925706e-04,   9.80318813e-03]))
('pid constants ', array([  5.09344642e-01,   3.16925706e-04,   9.80318813e-03]))
('pid constants ', array([  5.09344642e-01,   3.16925706e-04,   9.80318813e-03]))
('pid constants ', array([  5.09344642e-01,   3.16925706e-04,   9.80318813e-03]))
('pid constants ', array([ 0.06844126,  0.00021443,  0.00252913]))
('pid constants ', array([ 0.06844126,  0.00021443,  0.00252913]))
('pid constants ', array([ 0.06844126,  0.00021443,  0.00252913]))
('pid constants ', array([ 0.06844126,  0.00021443,  0.00252913]))
('pid constants ', array([ 0.06844126,  0.00021443,  0.00252913]))
('pid constants ', array([ 0.13806779,  0.00057926,  0.00480914]))
('pid constants ', array([ 0.13806779,  0.00057926,  0.00480914]))
('pid constants ', array([ 0.13806779,  0.00057926,  0.00480914]))
('pid constants ', array([ 0.13806779,  0.00057926,  0.00480914]))
('pid constants ', array([ 0.13806779,  0.00057926,  0.00480914]))
('pid constants ', array([ 0.06927339,  0.00061438,  0.00915776]))
('pid constants ', array([ 0.06927339,  0.00061438,  0.00915776]))
('pid constants ', array([ 0.06927339,  0.00061438,  0.00915776]))
('pid constants ', array([ 0.06927339,  0.00061438,  0.00915776]))
('pid constants ', array([ 0.06927339,  0.00061438,  0.00915776]))
('pid constants ', array([  5.07102985e-01,   4.05060199e-05,   8.25927418e-03]))
('pid constants ', array([  5.07102985e-01,   4.05060199e-05,   8.25927418e-03]))
('pid constants ', array([  5.07102985e-01,   4.05060199e-05,   8.25927418e-03]))
('pid constants ', array([  5.07102985e-01,   4.05060199e-05,   8.25927418e-03]))
('pid constants ', array([  5.07102985e-01,   4.05060199e-05,   8.25927418e-03]))
('pid constants ', array([  8.68459510e-01,   5.90928694e-05,   6.93582219e-03]))
('pid constants ', array([  8.68459510e-01,   5.90928694e-05,   6.93582219e-03]))
('pid constants ', array([  8.68459510e-01,   5.90928694e-05,   6.93582219e-03]))
('pid constants ', array([  8.68459510e-01,   5.90928694e-05,   6.93582219e-03]))
('pid constants ', array([  8.68459510e-01,   5.90928694e-05,   6.93582219e-03]))
('pid constants ', array([ 0.50254402,  0.00067682,  0.00858001]))
('pid constants ', array([ 0.50254402,  0.00067682,  0.00858001]))
('pid constants ', array([ 0.50254402,  0.00067682,  0.00858001]))
('pid constants ', array([ 0.50254402,  0.00067682,  0.00858001]))
('pid constants ', array([ 0.50254402,  0.00067682,  0.00858001]))
('pid constants ', array([  7.28793986e-01,   3.84703954e-05,   1.95556475e-03]))
('pid constants ', array([  7.28793986e-01,   3.84703954e-05,   1.95556475e-03]))
('pid constants ', array([  7.28793986e-01,   3.84703954e-05,   1.95556475e-03]))
('pid constants ', array([  7.28793986e-01,   3.84703954e-05,   1.95556475e-03]))
('pid constants ', array([  7.28793986e-01,   3.84703954e-05,   1.95556475e-03]))
('pid constants ', array([ 0.12814939,  0.00099642,  0.00867876]))
('pid constants ', array([ 0.12814939,  0.00099642,  0.00867876]))
('pid constants ', array([ 0.12814939,  0.00099642,  0.00867876]))
